"Original Text","Distortion Type","Label"
"Trong dòng xe cộ đông đúc, một chiếc xe vượt lên phía trước chúng ta. Mình vô cùng tức giận hạ cửa kính xuống chửi rủa anh ta, nhưng lại cảm thấy hối hận vì không thể kiểm soát hành vi của mình, nghĩ rằng mình có ý chí kém, là kẻ vô dụng không kiểm soát được cảm xúc.","All-or-Nothing Thinking",1
"Giáo viên giao cho tôi dự án, tôi không hoàn thành đúng hạn, bị giáo viên phê bình. Dù sao thì dự án này mình cũng không muốn làm, giáo viên còn tỏ vẻ khó chịu với mình, dự án này không thuận lợi với mình, dứt khoát không làm nữa.","Emotional Reasoning",1
"Tôi vất vả làm việc nhà, bố mẹ không nhìn thấy. Làm xong việc nhà mình cũng rất vui, thỉnh thoảng lao động một chút cảm giác cũng rất tốt.","Non-distorted",0
"Tôi chăm chỉ học tập, ban đầu kỳ vọng đạt điểm cao, nhưng tôi chỉ vừa đủ điểm đỗ. Có vẻ như mình vẫn còn thiếu sót trong việc nắm vững phần kiến thức này.","Non-distorted",0
"Tôi có thành tích rất kém, mặc dù đã rất cố gắng học tập, nhưng kết quả vẫn không như ý. Đây không phải là nội dung sở trường của mình, không cần phải quá bận tâm, hãy dành nhiều tâm sức hơn cho những lĩnh vực mình yêu thích, để đạt được những thành tựu lý tưởng.","Non-distorted",0
"Đàn em cho rằng tôi chưa bồi dưỡng anh ta đủ. Anh ấy chắc chắn gần đây công việc không tốt, gặp phải nút thắt cổ chai, cố tình gây sự với mình.","Fortune-telling",1
"Bây giờ là năm cuối đại học, nhưng gần đây tôi vẫn đang phân vân giữa việc học lên thạc sĩ hay đi làm, dao động không quyết định được. Mình nên học lên thạc sĩ hay đi làm đây, lựa chọn thật khó, thật băn khoăn.","Non-distorted",0
"Đầu tư thất bại, mất hết tiền tiết kiệm. Mình chìm đắm trong sự tự mãn, trách nhiệm của dự án thất bại hoàn toàn thuộc về mình, mình đã hại gia đình mình, mình là một tội đồ.","Personalization",1
"Bạn bè rủ tôi đi ăn, nhưng lúc đó tôi thực ra đã có hẹn rồi. Anh ấy không còn coi mình là bạn nữa, anh ấy sẽ cùng những người ghét mình hợp sức lại bắt nạt mình, cuộc sống của mình sẽ không bao giờ có một khoảnh khắc bình yên nào nữa.","Fortune-telling",1
"Gần đây tôi bị gãy xương, mỗi lần bạn bè đều phải đi cùng tôi xuống lầu, đưa tôi đi học. Lỡ như cô ấy chỉ vì sĩ diện mà không tiện từ chối yêu cầu của mình thì sao, lỡ như cô ấy trong lòng cũng cảm thấy mình rất phiền phức thì sao.","Mind Reading",1
"Tôi không phải là một đứa trẻ xinh đẹp, tôi cảm thấy hơi tự ti. Mỗi lần đi trên đường, mình đều cảm thấy người khác đang cười nhạo ngoại hình của mình.","Mind Reading",1
"Tôi đi ra ngoài không mang ô, nhưng đột nhiên trời bắt đầu mưa, mưa rất to, tôi không vui lắm. Quần áo đều ướt hết rồi, lát nữa có khi lại gặp người quen thì sao, thật là xấu hổ quá, muốn tìm một cái lỗ mà chui xuống.","Mind Reading",1
"Tài liệu ôn tập của tôi hoàn toàn không khớp với đề thi. Tất cả những nỗ lực trên thế giới này đều là vô ích, vất vả đều vô dụng, còn nỗ lực làm gì nữa, cứ thế mà buông xuôi thôi. Mọi thứ đều đã được định sẵn, không thể thay đổi bất cứ điều gì.","Overgeneralization",1
"Chú chó nhỏ mà tôi đã nuôi nấng cẩn thận qua đời, tôi cảm thấy vô cùng đau buồn. Tự trách mình sơ suất. Sâu thẳm trong lòng mình biết, nếu không phải lỗi của mình, có lẽ nó vẫn còn sống.","Personalization",1
"Người yêu tôi không may qua đời cách đây một thời gian. Tại sao mình lại không thể xử lý tốt mọi tình huống đột xuất, mình thực sự không biết sống để làm gì, vô nghĩa.","All-or-Nothing Thinking",1
"Gần đây tôi vừa được thăng chức, nhưng sợ năng lực của mình không thể đảm nhiệm. Học hỏi nhiều hơn, hiểu rõ tính cách và năng lực của các thành viên, thì mới có thể tổ chức mọi người tốt.","Non-distorted",0
"Bài luận mà tôi đã vất vả viết không được đồng nghiệp công nhận. Mình cố gắng như vậy có ích gì, tất cả đều vô ích, căn bản không thấy được thành quả, không bao giờ tin rằng nỗ lực sẽ có hồi báo nữa.","All-or-Nothing Thinking",1
"Đột nhiên thức dậy lúc ba giờ sáng, tôi vẫn cảm thấy rất buồn ngủ, công việc ngày mai có thể bị ảnh hưởng. Buồn ngủ quá, ngày mai trạng thái làm việc không tốt có bị sếp mắng không nhỉ, hơi lo lắng.","Fortune-telling",1
"Tôi được chẩn đoán mắc khối u não, rất hoang mang, cảm thấy rất sợ hãi. Cuộc đời mình xong rồi, không còn hy vọng gì nữa, đây có lẽ là công việc tồi tệ nhất trên thế giới này.","All-or-Nothing Thinking",1
"Bài luận mà tôi đã vất vả viết không được đồng nghiệp công nhận. Mình đúng là một kẻ vô dụng, một kẻ dốt nát không thể làm tốt bài luận nghiên cứu khoa học.","Labeling and Mislabeling",1
"Tôi và bạn bè mỗi ngày đều ăn cơm cùng nhau, đột nhiên một ngày cô ấy không đến tìm tôi ăn cơm. Vốn dĩ hôm nay thi không tốt, tâm trạng đã không tốt rồi, bây giờ lại không có ai đi ăn cùng mình, hôm nay thật là xui xẻo!","Non-distorted",0
"Bố mẹ hối thúc tôi kết hôn và sinh con, tôi cảm thấy rất khó chịu. Thật không hiểu kết hôn sinh con có ý nghĩa gì, lẽ nào ý nghĩa cuộc đời trong mắt họ chỉ có những thứ này thôi sao?","All-or-Nothing Thinking",1
"Tôi chủ động chào hỏi, bạn học mới cũng chỉ qua loa đáp lại. Dù mình làm gì, cũng không thể thành công. Thế giới của mình, giống như thủy tinh vỡ vụn, những mảnh vỡ tàn nhẫn cứa vào mình.","All-or-Nothing Thinking",1
"Tôi mua một túi cổ vịt, ăn cổ vịt bị mắc nghẹn. Quá bất cẩn, gần đây cần nâng cao cảnh giác.","Non-distorted",0
"Gần đây tôi cảm thấy chiều cao của mình không lý tưởng lắm. Chiều cao của họ khiến mình ngưỡng mộ, nhưng thành tích xuất sắc của mình cũng nên khiến họ ngưỡng mộ. Không ai hoàn hảo, cũng không ai vô dụng.","Non-distorted",0
"Tôi có thành tích rất kém, mặc dù đã rất cố gắng học tập, nhưng kết quả vẫn không như ý. Cảm giác như chạm đáy, nhưng mỗi lần tôi nghĩ nó là đáy, nhưng thực tế không phải vậy. Tôi sẽ đi đâu từ đây?","Overgeneralization",1
"Có lần tôi nghe thấy bạn trai/bạn gái của mình đang nói chuyện với bạn thân khác giới. Nếu người yêu mình cũng phản bội mình, vậy thì mình sống còn ý nghĩa gì nữa, không ai yêu mình.","All-or-Nothing Thinking",1
"Chú chó nhỏ mà tôi đã nuôi nấng cẩn thận qua đời, tôi cảm thấy vô cùng đau buồn. Mình ngay cả một chú chó nhỏ cũng không chăm sóc tốt được, đúng là một người chủ thất bại, sau này sẽ không bao giờ nuôi bất kỳ con vật nhỏ nào nữa.","Overgeneralization",1
"Tháng này, có nhiều đồng nghiệp trẻ mới đến, họ làm việc hiệu quả và rất tốt, tôi cảm thấy hơi lo lắng. Trẻ trung thật tốt, lớp sóng sau xô lớp sóng trước, mình cũng phải cố gắng gấp bội. Dù người trẻ có niềm đam mê vô tận, nhưng người giàu kinh nghiệm lại có lợi thế hơn.","Non-distorted",0
"Tôi bị chụp ảnh khỏa thân cưỡng bức, tôi rất đau khổ, không dám nói cho ai biết. Mình bị người ta nhìn thấy hết rồi, trinh tiết của mình mất rồi, cuộc đời mình cũng bị hủy hoại rồi, mình đời này coi như xong rồi.","All-or-Nothing Thinking",1
"Tôi và bạn bè mỗi ngày đều ăn cơm cùng nhau, đột nhiên một ngày cô ấy không đến tìm tôi ăn cơm. Ngay cả ăn cơm cũng không ai muốn ăn cùng mình nữa, mình thật là thất bại, đã sa sút đến mức bị tất cả mọi người ghét bỏ như thế này rồi.","All-or-Nothing Thinking",1
"Chú chó nhỏ mà tôi đã nuôi nấng cẩn thận qua đời, tôi cảm thấy vô cùng đau buồn. Nó chỉ là đã hoàn thành nhiệm vụ và trở về hành tinh chó để sống tốt thôi.","Non-distorted",0
"Để giúp con cải thiện thành tích, tôi đã kèm cặp đứa trẻ này một thời gian, kết quả thi được 70 điểm, tôi vẫn không hài lòng với kết quả này. Ngay cả con mình cũng không dạy dỗ tốt được, mình đúng là một thằng ngốc.","Labeling and Mislabeling",1
"Gần đây công việc rất bận, con tôi bị bỏ bê, tôi cảm thấy thiếu sự đồng hành với con. Trẻ em trong gia đình đơn thân đều như vậy, không thể có đủ tình yêu thương của cha và mẹ, nên con tôi không thể trách tôi, tôi cũng không có cách nào khác.","Overgeneralization",1
"Tôi cảm thấy bạn cùng phòng dường như mỗi ngày đều có mối quan hệ rất tốt, nhưng tôi không thể hòa nhập. Mọi người chỉ bận việc riêng của mình thôi, làm gì có ai rảnh rỗi cả ngày đi tìm người khác nói chuyện chứ. Họ chắc chắn nghĩ mình rất phiền, nên đều cố tình không để ý đến mình.","Mind Reading",1
"Sáng dậy, vốn dĩ muốn ngủ thêm một lát, dậy thì phát hiện đã muộn. Sao mình lại không có khái niệm về thời gian như vậy, làm gì cũng không đúng giờ, hoạt động cũng đến muộn, bây giờ ngay cả đến lớp cũng ngủ quên. Đây là phong cách làm việc của mình, mình căn bản là một kẻ vô dụng.","All-or-Nothing Thinking",1
"Gần đây tôi vừa được thăng chức, nhưng sợ năng lực của mình không thể đảm nhiệm. Sếp đã thăng chức cho mình, điều đó chứng tỏ ông ấy khẳng định năng lực của mình, mình phải tin vào bản thân, làm việc tốt, không phụ lòng tin của sếp.","Non-distorted",0
"Hai tuần liên tiếp không nhận được tin nhắn hoặc cuộc gọi. Tôi không có bạn bè thật sự, chỉ có một vài người, tôi thỉnh thoảng sử dụng Snapchat trong công việc, nhưng nếu tôi chết, họ thậm chí sẽ không nhận ra.","Mind Reading",1
"Tài liệu ôn tập của tôi hoàn toàn không khớp với đề thi. Mình sẽ tiếp tục cố gắng luyện tập, chỉ cần luyện tập thêm một chút nữa là được.","Non-distorted",0
"Tôi có thành tích rất kém, mặc dù đã rất cố gắng học tập, nhưng kết quả vẫn không như ý. Có vẻ như phương pháp học tập có vấn đề, cần hỏi thầy cô nhiều hơn, không thể tự mình mày mò học bừa.","Non-distorted",0
"Trong một hoặc hai tháng qua, tôi thức dậy ít nhất một lần mỗi tuần vì đau lưng. Hậu quả của việc ngồi sai tư thế, tôi đã trải nghiệm rồi.","Non-distorted",0
"Đột nhiên tôi đi ra ngoài, phát hiện quần áo của mình bị ngược. Thật xấu hổ quá, người trên phố chắc chắn đều nhìn thấy rồi, những người thì thầm đó chính là đang lén cười nhạo mình, chắc chắn đang nói xấu mình.","Mind Reading",1
"Tôi chăm chỉ học tập, ban đầu kỳ vọng đạt điểm cao, nhưng tôi chỉ vừa đủ điểm đỗ. Đôi khi mình cảm thấy áp lực học hành ở trường quá lớn, mình có thể sắp sụp đổ rồi.","Mind Reading",1
"Đi ăn ở nhà hàng, tôi phát hiện có một con côn trùng nhỏ trong thức ăn. Ăn một bữa cơm mà cũng có côn trùng, mình đúng là xui xẻo quá, sau này mỗi lần ăn cơm mình chắc chắn sẽ gặp côn trùng thôi, dù sao mình cũng đã ăn nhiều như vậy rồi.","Overgeneralization",1
"Tôi cứ nghĩ mình có thể được bảo lưu đại học, nhưng cuối cùng danh sách không có tôi. Mình tự tin nghĩ rằng sẽ có mình, bây giờ người khác chắc chắn sẽ cười nhạo mình.","Mind Reading",1
"Thật không may, gần đây tôi cảm thấy rất khó chịu, nhưng vẫn chưa tìm ra bệnh cụ thể. Không thể chẩn đoán được bệnh gì khiến mình rất căng thẳng tâm lý, thường xuyên lo lắng bất an.","Emotional Reasoning",1
"Gần đây tôi bị lừa, kẻ lừa đảo đã lừa hết tiền của tôi. Xong đời rồi, chẳng còn gì cả, cuộc sống của mình cũng kết thúc rồi.","All-or-Nothing Thinking",1
"Tết đến, trong bữa cơm tất niên, những người cùng thế hệ với tôi đều có tiết mục biểu diễn tài năng, tôi chỉ biết cắm cúi ăn cơm. Anh chị em đều tài năng như vậy, họ chắc chắn trong lòng đều coi thường mình, nghĩ mình không làm nên trò trống gì, căn bản không muốn chơi với mình.","Mind Reading",1
"Bây giờ là năm cuối đại học, tôi ban đầu quyết định đi làm, nhưng gần đây lại liên tục phân vân giữa việc học lên thạc sĩ hay đi làm, cảm thấy mông lung. Người như mình, ngay cả một lựa chọn đơn giản như vậy cũng chần chừ, sau này làm gì cũng không quyết đoán được, thật sự là vô dụng.","Labeling and Mislabeling",1
"Tôi đã hẹn đi chơi cùng nhau, nhưng tôi lại bị cho leo cây. Phiền phức chết đi được, mình trang điểm một tiếng đồng hồ, không rảnh sao không nói sớm, lãng phí thời gian của mình.","Non-distorted",0
"Thu nhập của tôi rất thấp, thu nhập của vợ khá cao, tôi cảm thấy áp lực. Thu nhập của vợ cao hơn tôi cho thấy cô ấy không phải vì tiền của tôi mà là vì con người tôi.","Non-distorted",0
"Tôi đang cố gắng ôn thi cao học, lúc này bạn gái tôi phàn nàn rằng gần đây tôi đã bỏ bê cô ấy. Mình ôn thi cao học vất vả như vậy rồi, bạn gái còn làm mình phiền lòng, bạn gái trên thế giới này đều như vậy, không hiểu chuyện.","Overgeneralization",1
"Có người bắt nạt tôi, nói tôi là một người không quan trọng. Anh ta nói mình là một người không quan trọng, mình rất buồn.","Non-distorted",0
"Tháng này, có nhiều đồng nghiệp trẻ mới đến, họ làm việc hiệu quả và rất tốt, tôi cảm thấy hơi lo lắng. Đừng lo lắng, họ tuy trẻ nhưng mình có kinh nghiệm và năng lực, không có vấn đề gì lớn.","Non-distorted",0
"Tôi và bạn học chơi game ở quán net, giáo viên đột nhiên đi vào tóm được tôi. Vậy các bạn khác chắc chắn sẽ rất thất vọng, mình không phải lúc nào cũng chơi ở quán net, lại sắp chiếm suất vào trường trọng điểm của họ rồi, không biết có ai ngăn cản thầy cô bắt mình không.","Mind Reading",1
"Bạn bè rủ tôi đi ăn, nhưng lúc đó tôi thực ra đã có hẹn rồi. Mình luôn vô tình làm bạn bè tức giận, mình nghĩ mình đã khiến họ gặp bất hạnh.","Personalization",1
"Bố mẹ tôi gần đây đang cãi nhau, không quan tâm tôi nhiều. Trẻ con bình thường đều có bố mẹ yêu thương, nhưng bố mẹ mình luôn cãi nhau, không quan tâm mình, nên mình là một đứa trẻ bất hạnh, tuổi thơ của mình đầy đau khổ, mình không vui.","Emotional Reasoning",1
"Tôi đã hẹn đi chơi cùng nhau, nhưng tôi lại bị cho leo cây. Cả đời này không ai quan tâm mình nữa.","Overgeneralization",1
"Gần đây tôi muốn xem ảnh tốt nghiệp của mình, nhưng tôi tìm mãi không thấy. Ơ? Sao lại không tìm thấy nhỉ? Không phải đâu, thôi đợi mai hỏi bạn xem có không.","Non-distorted",0
"Tôi chuẩn bị tranh cử chủ tịch câu lạc bộ, tôi đã rất nỗ lực chuẩn bị mọi thứ, mọi người xung quanh đều nghĩ tôi có thể trúng cử, nhưng cuối cùng tôi lại không may mắn thất cử. Mình nghĩ mình có thể được chọn, những người xung quanh cũng nghĩ mình có thể được chọn, nhưng cuối cùng mình lại không được chọn, chắc chắn là có gian lận.","All-or-Nothing Thinking",1
"Khi tôi đang nói chuyện với ai đó, điện thoại của người đó đổ chuông, nhưng người đó không nhấc máy. Anh ấy có phải vì nói chuyện với mình mà không nghe thấy điện thoại không, mình nên nhắc anh ấy một chút.","Non-distorted",0
"Một tuần tôi chỉ có 500 nhân dân tệ tiền sinh hoạt, bạn học đều ăn đủ thứ đồ ăn vặt, tôi thì không. Họ đều mua đồ ăn, chỉ có mình không mua, họ chắc chắn sẽ nghĩ mình không hòa đồng hoặc nghĩ mình nghèo không mua được.","Mind Reading",1
"Gần đây tôi bị gãy xương, mỗi lần bạn bè đều phải đi cùng tôi xuống lầu, đưa tôi đi học. Mất đi tự do chạy nhảy, chỉ có thể dựa vào nạng và sự giúp đỡ của bạn bè, thật bi thảm và chán nản, thà nằm trên giường, không bao giờ dậy nữa.","Emotional Reasoning",1
"Hôm nay bố tôi say rượu, nổi giận đùng đùng, đá tôi ra khỏi nhà. Không cần quá bận tâm, có thể anh ấy đang buồn vì chuyện gì đó.","Non-distorted",0
"Chồng tôi nghĩ vợ mua quần áo mỗi tuần quá lãng phí, vợ nghĩ chồng cho tiền người nhà ở quê quá nhiều. Mỗi lần em mua quần áo tốn tiền như nước chảy, có biết bây giờ nhà mình phải tiết kiệm tiền không? Không tiết kiệm được tiền, đợi đến khi em già, bị bệnh, không có tiền, căn bản không ai quản em đâu, em cứ tự mà chờ chết đi!","Mind Reading",1
"Gần đây tôi phát hiện ra WeChat của người thứ ba trong điện thoại của bố tôi. Mình là đứa trẻ hư, thường xuyên làm ông ấy tức giận, nên ông ấy mới đi tìm người thứ ba.","Personalization",1
"Là con gái, tôi bị các bạn cùng lớp chế giễu vì đến kỳ kinh nguyệt. Đến kỳ kinh nguyệt thật đáng sợ, không chỉ cơ thể khó chịu, tinh thần mình còn bị người khác chế giễu.","Emotional Reasoning",1
"Trong đại dịch COVID-19, tôi là nhân viên y tế và cần làm thêm giờ không lương. Nếu mình đề nghị rằng chúng tôi cũng cần tiền làm thêm giờ, thì sau này cuộc sống chắc chắn sẽ khó khăn, sẽ bị người khác coi thường và xa lánh.","Fortune-telling",1
"Tôi có thành tích rất kém, mặc dù đã rất cố gắng học tập, nhưng kết quả vẫn không như ý. Không thể để người khác biết mình cố gắng vẫn không có kết quả, như vậy chắc chắn sẽ bị mọi người cười nhạo.","Mind Reading",1
"Đồng nghiệp của tôi, vào công ty cùng năm, tôi cảm thấy cô ấy luôn thích lấn át tôi. Có thể là mình đã nhầm lẫn, có lẽ là do đồng nghiệp này thường xuyên tham gia vào một số công việc báo cáo của công ty.","Non-distorted",0
"Tôi đối mặt với các hoạt động đa dạng của trường học, đầy hứng thú, nhưng lại lo sợ thất bại. Không có cách nào khác, mình chính là không có dũng khí để tham gia, nói gì cũng vô ích, mình mãi mãi yếu đuối như vậy, không thay đổi được.","Overgeneralization",1
"Sáng dậy, vốn dĩ muốn ngủ thêm một lát, dậy thì phát hiện đã muộn. Sao mình không đặt báo thức rồi ngủ tiếp chứ! Mình thật ngu ngốc, bị mắng cũng đáng đời, không có chút tự biết mình. Mình căn bản là một kẻ lười biếng ngu ngốc.","Labeling and Mislabeling",1
"Khi tôi giáo dục con cái, chúng bắt đầu cãi lại, bày tỏ ý kiến của mình, thậm chí công khai phản đối tôi. Mình đã vất vả dạy dỗ con cái mười mấy năm trời! Thế mà lại vô lễ với mình như vậy, tất cả mọi thứ đều xong rồi, mình đã nuôi chúng uổng phí bao nhiêu năm rồi, mình đời này không thể trông cậy vào chúng được nữa, thật là những đứa con bất hiếu.","All-or-Nothing Thinking",1
"Khách sạn tôi đặt thông báo rằng khách sạn đã đầy phòng, rõ ràng là tôi không đặt được phòng. Không đặt được gì cả, chơi cũng không vui, mình ra ngoài đúng là một sai lầm, đáng lẽ nên ở nhà không đi đâu cả.","Overgeneralization",1
"Các bạn cùng lớp đều ra ngoài, tôi một mình ở trong lớp học, cảm thấy hơi cô đơn. Không ai sẽ đi cùng mình đâu, cuộc sống đại học này mình định là một mình, không ai sẽ để ý đến mình.","Overgeneralization",1
"Gần đây tôi mang thai, cảm thấy rất khó chịu. Nghĩ đến việc mẹ mình khi đó cũng đã trải qua những đau khổ này để sinh ra mình, cảm thấy mình là một tội nhân không thể tha thứ.","Personalization",1
"Đi ăn ở nhà hàng, tôi phát hiện có một con côn trùng nhỏ trong thức ăn. Nhà hàng bẩn quá, lần sau không đến nữa.","Non-distorted",0
"Đột nhiên thức dậy lúc ba giờ sáng, tôi vẫn cảm thấy rất buồn ngủ, công việc ngày mai có thể bị ảnh hưởng. Mất ngủ thì thôi, có lẽ mình không nên cố gắng ngủ nữa, mình chắc chắn sẽ rơi vào một hố đen không ngủ được.","All-or-Nothing Thinking",1
"Các bạn cùng lớp đều ra ngoài, tôi một mình ở trong lớp học, cảm thấy hơi cô đơn. Một mình cũng khá yên tĩnh, mình sẽ tận dụng thời gian này để học tập thật tốt.","Non-distorted",0
"Tôi rất béo, rất mập. Giảm cân thì có ích gì, dù mình có giảm cân cũng sẽ không thay đổi được gì.","Fortune-telling",1
"Tôi luôn sống trong một gia đình có điều kiện kinh tế khá khó khăn, thu nhập của bố mẹ không cao. Mỗi lần đi ngang qua những gia đình có điều kiện tốt hơn, mình đều cảm thấy rất xấu hổ, họ chắc chắn đang lén lút cười nhạo mình, coi mình như một trò cười để sỉ nhục.","Mind Reading",1
"Tôi vừa bị chụp ảnh khỏa thân cưỡng bức, tôi rất đau khổ, không dám nói cho ai biết. Tôi cảm thấy cuộc đời có một vết nhơ lớn như vậy, cả đời này mình còn có hy vọng gì nữa.","Overgeneralization",1
"Đột nhiên tôi thức dậy lúc ba giờ sáng và vẫn cảm thấy rất buồn ngủ, công việc ngày mai có thể bị ảnh hưởng. Tôi nghĩ người khác cũng sẽ trải qua tình huống như vậy, nhưng họ đều có thể vượt qua, chỉ có mình là không được.","Personalization",1
"Những người xung quanh đã nói với người khác về bí mật tôi thích một bạn nam lớp bên cạnh, và tin đồn đó đã đến tai tôi. Tôi nghĩ những người này không giữ bí mật cho mình, sau này cũng sẽ không có ai giúp mình giữ bí mật.","Overgeneralization",1
"Khi phỏng vấn, HR cho biết tôi không đáp ứng yêu cầu của công ty. Tôi nghĩ chắc chắn là đã có người được nhận rồi, phỏng vấn chỉ là hình thức thôi, công ty này chắc chắn có gian lận.","Mind Reading",1
"Căn hộ tôi đang ở đột nhiên bị nổ, tôi mất nhà cửa. Tôi nghĩ chắc chắn là kiếp trước mình đã làm những chuyện trời đất khó dung nên kiếp này phải đến để chuộc tội.","Personalization",1
"Để giúp con cải thiện thành tích, tôi đã kèm cặp đứa trẻ này một thời gian, kết quả thi được 70 điểm, tôi vẫn không hài lòng với kết quả này. Tôi nghĩ những đứa trẻ nghịch ngợm đó, tương lai của chúng sẽ không có nhiều thay đổi, chúng không thể thành đạt, số phận của chúng đã được định sẵn.","Fortune-telling",1
"Gần đây công việc rất bận rộn, cấp trên tạo áp lực rất lớn cho tôi, nhưng các đồng nghiệp xung quanh dường như không có gì bất thường. Tôi cảm thấy mỗi ngày áp lực lớn quá, mình thở không nổi nữa rồi, muốn chết quá.","Emotional Reasoning",1
"Công ty trước đây của tôi kinh doanh không tốt nên phá sản, vì vậy tôi đã không có việc làm nửa năm nay. Tôi nghĩ thôi, bỏ cuộc tìm việc đi, sẽ không có công ty nào cần mình đâu, mình không thể tìm được việc làm.","Fortune-telling",1
"Các bạn cùng lớp đều ra ngoài, tôi một mình ở trong lớp học và cảm thấy hơi cô đơn. Tôi cảm thấy bị tách rời khỏi mọi thứ và mọi người: tôi thực sự không biết giải thích điều này như thế nào, nhưng dù tôi ở một mình hay trong đám đông, tôi đều cảm thấy cảm giác 'khác biệt' này.","Overgeneralization",1
"Hai tuần liên tiếp tôi không nhận được tin nhắn hoặc cuộc gọi. Tôi nghĩ trầm cảm nói với tôi rằng không ai quan tâm, và tôi cũng biết không ai quan tâm đến tôi.","Overgeneralization",1
"Gần đây tôi bị gãy xương, mỗi lần bạn bè đều phải đi cùng tôi xuống lầu, đưa tôi đi học. Tôi nghĩ vốn dĩ cuộc sống đại học đã hỗn loạn rồi, bây giờ lại còn bị gãy xương nữa chứ, cuộc sống đại học của mình đúng là một mảng tối tăm. Từ nay về sau chỉ có ngày càng tệ hơn thôi.","All-or-Nothing Thinking",1
"Tôi và bạn học chơi game ở quán net, giáo viên đột nhiên đi vào tóm được tôi. Tôi nghĩ mau nhận lỗi, xin thầy tha thứ, nói không chừng còn có một tia hy vọng.","Non-distorted",0
"Mỗi năm đến Tết, người nhà lại hỏi han đủ thứ về tôi. Tôi sợ nhất là những câu hỏi trên bàn ăn như thế này, nếu năm nào đó phát triển không tốt thì thà không đón Tết cũng không ăn cơm.","Fortune-telling",1
"Là một luật sư, vụ kiện của tôi đã thua. Tôi cảm thấy thua kiện thật là khó chịu! Đây mới chỉ là vụ kiện đầu tiên của mình! Luật sư đúng là một nghề vô dụng.","Emotional Reasoning",1
"Khi tôi đã chuẩn bị sẵn sàng mọi thứ để rời nhà, mẹ lại lâm bệnh nặng, trong nhà luôn xảy ra những chuyện khiến tôi không dám rời nhà ra ngoài lập nghiệp. Tôi nghĩ gia đình như mình còn xứng đáng có lý tưởng gì nữa, cứ sống lay lắt qua kiếp này cũng coi như xong.","Fortune-telling",1
"Gần đây tôi cảm thấy đôi khi đứng dậy là chóng mặt, cảm giác nặng đầu nhẹ chân. Tôi nghĩ mình đúng là một kẻ bệnh tật, cơ thể luôn có bệnh, không chữa khỏi được, bây giờ yếu ớt như vậy, sau này cũng không sống được bao nhiêu năm nữa.","Labeling and Mislabeling",1
"Gần đây gần đến hạn nộp dự án, sau giờ làm đầu óc tôi vẫn không ngừng nghĩ về công việc. Tôi cảm thấy mình mệt quá, nhưng mình không thể không chịu trách nhiệm cho dự án của mình, dù mình cảm thấy mình liên tục bị bóc lột, mình cũng không thể rời bỏ dự án mà mình đã nỗ lực rất lâu này, một khi buông tay, tất cả năng lượng của mình đều sẽ vô ích, công việc bây giờ đối với mình đã trở thành một việc đau khổ.","Emotional Reasoning",1
"Tết đến, trong bữa cơm tất niên, những người cùng thế hệ với tôi đều có tiết mục biểu diễn tài năng, tôi chỉ biết cắm cúi ăn cơm. Tôi cảm thấy mình thật vô dụng, là kẻ nhát gan, căn bản không xứng đáng ngồi cùng với những anh chị em xuất sắc đó để ăn bữa cơm tất niên.","Labeling and Mislabeling",1
"Bố mẹ tôi gần đây đang cãi nhau, không quan tâm tôi nhiều. Tôi nghĩ họ từ đầu đến cuối đều không nghĩ cho mình, mình giống như một người vô hình trôi dạt trong thế giới này.","Mind Reading",1
"Hai tuần liên tiếp tôi không nhận được tin nhắn hoặc cuộc gọi. Tôi đã nhìn thấu rồi, cái gọi là bạn bè cũng chỉ có vậy, mình sẽ không bao giờ tin bất cứ ai nữa, mình căn bản không cần bạn bè. Tất cả mọi người đều ích kỷ, chỉ quan tâm đến bản thân, tình bạn căn bản là một trò đùa.","Emotional Reasoning",1
"Gần đây tôi cảm thấy đôi khi đứng dậy là chóng mặt, cảm giác nặng đầu nhẹ chân. Tôi nghĩ hôm kia mình thấy bạn cùng phòng cầm bình nước của mình, chắc là anh ấy đã bỏ thuốc vào cho mình.","Mind Reading",1
"Mơ lấy được hoàng tử bạch mã, cuối cùng tôi chỉ lấy một người chồng mà tôi không yêu. Tôi nghĩ hoàng tử bạch mã gì đó chỉ tồn tại trong truyện cổ tích thôi, người có điều kiện như mình cũng chỉ có thể tìm được người như vậy.","Non-distorted",0
"Tôi có thành tích rất kém, mặc dù đã rất cố gắng học tập, nhưng kết quả vẫn không như ý. Tôi sẽ hỏi thầy cô bạn bè, cố gắng thêm chút nữa, mình nhất định sẽ làm được.","Non-distorted",0
"Tôi và bạn cùng phòng gần đây thường xuyên xảy ra mâu thuẫn. Tôi nghĩ chúng tôi tính cách khác nhau, nên thường xuyên xảy ra xung đột, tôi cảm thấy rất lo lắng.","Non-distorted",0
"Bố mẹ có vẻ can thiệp quá nhiều vào cuộc sống của tôi, gần đây bố mẹ thường xuyên hỏi han những việc tôi làm. Tôi nghĩ nhiều vấn đề rõ ràng không cần hỏi họ cứ hỏi mãi không ngừng, họ chưa bao giờ nghĩ đến cảm xúc của mình, chỉ lo thỏa mãn ham muốn kiểm soát của bản thân.","Mind Reading",1
