Scenario,Thought,Distortion Type,label
"Từ trước đến nay bạn ít liên lạc với gia đình, chỉ gửi tin nhắn.","Mối liên hệ giữa các thành viên trong gia đình có thể không thường xuyên, nhưng điều đó không làm suy yếu tình thân sâu sắc của chúng tôi.",Non-distorted,0
Đồng nghiệp hoặc lãnh đạo lại giao thêm nhiệm vụ mới cho bạn.,"Nhiệm vụ lần này nhiều quá, không quan tâm đến mình gì cả.",Non-distorted,0
"Đồng nghiệp của bạn, vào công ty cùng năm, bạn cảm thấy cô ấy luôn thích lấn át bạn.","Biết đâu cô ấy chỉ muốn làm thân với mình, nhưng lại dùng cách hơi cực đoan.",Non-distorted,0
"Gần đây bạn đi đánh bạc, thua hết tiền của mình.",Sao mình có thể thua được chứ? Quả nhiên cờ bạc là lừa bịp!,Labeling and Mislabeling,1
"Là một luật sư, vụ kiện của bạn đã thua.","Vụ án này mình đã thua, chắc chắn sẽ ảnh hưởng đến danh tiếng của mình, sau này có vụ án nào khác, mọi người chắc chắn sẽ không muốn mình nhận nữa, họ sẽ không tin tưởng mình.",Fortune-telling,1
"Bạn không phải là một đứa trẻ xinh đẹp, bạn cảm thấy hơi tự ti.","Mình mỗi giờ mỗi phút đều phiền não vì ngoại hình của mình, điều này sẽ trở thành căn bệnh trong lòng mình.",Overgeneralization,1
"Bố mẹ có vẻ hơi quá can thiệp vào cuộc sống của bạn rồi. Dạo gần đây, bố mẹ thường xuyên hỏi han về những việc bạn làm.","Bố mẹ luôn quan tâm tôi, dù tôi ở đâu, vì sự quan tâm của họ luôn mang lại cảm giác thân thuộc, nhắc nhở tôi là một đứa trẻ có gia đình.",Non-distorted,0
Bạn và bạn cùng phòng gần đây thường xuyên xảy ra mâu thuẫn.,"Cố gắng hết sức để giải quyết mâu thuẫn giữa chúng tôi và bạn cùng phòng, vì chúng tôi đều có suy nghĩ riêng.",Non-distorted,0
"Bạn ở nước ngoài làm việc, đột nhiên điện thoại gọi đến, bố mẹ bạn qua đời.","Bây giờ mình đột nhiên mất đi bố mẹ, sau này cũng sẽ mất đi người yêu và con cái theo cách tương tự, tất cả những sự ra đi trong cuộc đời mình đều xảy ra đột ngột.",Overgeneralization,1
"Bạn bị bạo lực lạnh của gia đình đẩy đến đỉnh điểm bùng nổ, không kiểm soát được mà trở nên cuồng loạn.","Các người đều là những kẻ máu lạnh, ngay cả đứa con yêu quý nhất cũng không yêu, các người căn bản sẽ không yêu ai cả!",Labeling and Mislabeling,1
"Bạn là một người đồng tính, bạn cảm thấy rất áp lực, không ai xung quanh hiểu bạn.","Mình là người đồng tính, mình sẽ cô đơn đến già, chết một mình trong cô đơn.",Fortune-telling,1
"Những người xung quanh đã nói với người khác về bí mật bạn thích một bạn nam lớp bên cạnh, và tin đồn đó đã đến tai bạn.",Mình từ nay về sau sẽ trở thành trò cười của tất cả mọi người.,Overgeneralization,1
Thường xuyên phải làm thêm giờ khiến bạn cảm thấy quá khó chịu.,"Mình làm việc quần quật mà chỉ đủ nuôi sống bản thân, người như mình sống thật sự có ý nghĩa không, chỉ là lãng phí không khí thôi. Mình chắc chắn là một kẻ thất bại hoàn toàn, không đáng được bất kỳ ai yêu thương hay tôn trọng.",All-or-Nothing Thinking,1
"Đã hẹn đi chơi cùng nhau, nhưng bạn lại bị cho leo cây.","Không đến thì thôi, cùng lắm là sau này mình không đi chơi với anh ấy nữa.",All-or-Nothing Thinking,1
"Đồng nghiệp của bạn, vào công ty cùng năm, bạn cảm thấy cô ấy luôn thích lấn át bạn.","Cô ấy làm gì thực ra cũng không sao cả, mình chỉ cần đủ giỏi thì sẽ được đồng nghiệp yêu quý, được sếp trọng dụng, cô ấy căn bản không thể ảnh hưởng đến mình.",Non-distorted,0
"Bạn đi học lái xe đã trượt nhiều lần rồi, việc học lái xe thất bại.","Giáo viên dạy lái xe nhắm vào mình, cố tình cho mình trượt mỗi lần, để mình mỗi năm đều phải đóng tiền học ở đó, trường dạy lái xe này thật sự quá đen tối.",Mind Reading,1
"Bạn tự tin rằng mình sẽ có học bổng, nhưng không may lại trượt học bổng.","Tôi cảm thấy mình là gánh nặng cho mọi người, xin lỗi, tôi là một người tồi tệ.",Personalization,1
"Đột nhiên bạn đi ra ngoài, phát hiện quần áo của mình bị ngược.","Đi phỏng vấn mà cũng mặc ngược quần áo, buổi phỏng vấn này mình chắc chắn đã làm hỏng rồi, xong rồi, mình sẽ không bao giờ tìm được việc làm nữa!",Mind Reading,1
"Bạn cảm thấy khó tập trung, hiệu quả học tập thấp, cả ngày đầu óc trống rỗng.",Bạn có phải là một người đọc tâm thực sự không? Làm sao bạn có thể biết động cơ tôi đặt câu hỏi?,Non-distorted,0
Gần đây bạn cảm thấy chiều cao của mình không lý tưởng lắm.,"Sao lại có người thích con trai lùn chứ, sẽ không có ai yêu mình đâu, mình cũng chỉ có thể cô đơn đến già thôi.",Fortune-telling,1
Hai tuần liên tiếp không nhận được tin nhắn hoặc cuộc gọi.,"Nguyên tắc của mình là thà thiếu còn hơn thừa, vòng xã giao của mình đủ rồi.",Non-distorted,0
"Bạn bị chụp ảnh khỏa thân cưỡng bức, bạn rất đau khổ, không dám nói cho ai biết.","Hãy để mình ngủ một giấc thật ngon đi, khi mình tỉnh dậy, những chuyện này sẽ như chưa từng xảy ra, mình sẽ không còn đau khổ nữa, mình sẽ quên đi tất cả.",Emotional Reasoning,1
"Chồng nghĩ vợ mua quần áo mỗi tuần quá lãng phí, vợ nghĩ chồng cho tiền người nhà ở quê quá nhiều.","Đều tại mình mua quần áo hoang phí quá, anh ấy không muốn đưa tiền cho mình nữa, tất cả đều gửi về nhà là lỗi của mình, nếu mình tỉnh táo hơn khi tiêu tiền, thì sẽ không đến mức bây giờ anh ấy không muốn quản mình.",Personalization,1
"Bạn chủ động chào hỏi, bạn học mới cũng chỉ qua loa đáp lại.",Anh ấy không thích mình sao? Có ai nói xấu mình với anh ấy không? Anh ấy dựa vào cái gì mà coi thường mình như vậy?,Fortune-telling,1
"Người khác nói bạn trông không được khỏe, như thể người khác nợ tiền bạn.","Khi mình không cười trông có vẻ hơi nghiêm túc thật, nhưng như vậy cũng không có gì xấu, mình cũng không phải là người luyên thuyên cười đùa.",Non-distorted,0
"Bạn trai bạn gọi điện cho bạn, nói rằng anh ấy cần thêm không gian.","Mối quan hệ của chúng ta đã đi đến bờ vực tan vỡ, chúng ta sớm muộn gì cũng sẽ chia tay.",Fortune-telling,1
"Bạn cảm thấy bạn cùng phòng dường như mỗi ngày đều có mối quan hệ rất tốt, nhưng bạn không thể hòa nhập.","Giao tiếp với họ thật phiền phức, giao tiếp là một việc phiền phức, những người quan tâm và giúp đỡ mình đều bị bỏ qua, mình không thèm kết giao với họ.",Mind Reading,1
"Bạn có một người bạn thân thiết hai năm, nhưng gần đây vài tuần anh ấy không liên lạc với bạn.","Mình đúng là một kẻ tồi tệ, mình không thể có bạn bè, chính vì mình quá tệ hại nên bạn bè mình mới lần lượt rời bỏ mình.",Personalization,1
"Bạn bị chụp ảnh khỏa thân cưỡng bức, bạn rất đau khổ, không dám nói cho ai biết.","Những kẻ chụp ảnh khỏa thân này chắc chắn đang nghĩ cách tống tiền mình tốt hơn, mình xong đời rồi, mình sẽ phải bỏ ra một khoản tiền lớn.",Non-distorted,0
"Từ trước đến nay bạn ít liên lạc với gia đình, chỉ gửi tin nhắn.","Gia đình và tôi giao tiếp rất trực tiếp, ai cũng thích có việc thì nói, không có việc thì không giao tiếp với nhau.",Non-distorted,0
"Các bạn cùng lớp đều ra ngoài, bạn một mình ở trong lớp học, cảm thấy hơi cô đơn.","Họ chắc chắn rất coi thường cái loại mọt sách như mình, nên không muốn hỏi mình có muốn đi cùng không.",Mind Reading,1
"Bạn là một luật sư thành đạt, nhưng bạn rất lo lắng sẽ thua kiện tại tòa.","Mình luôn kém người khác nửa bước, người khác dễ dàng phát hiện ra mình có đầy lỗ hổng, mình là một con hổ giấy dễ bị tổn thương.",Labeling and Mislabeling,1
"Bạn bị bạo lực lạnh của gia đình đẩy đến đỉnh điểm bùng nổ, không kiểm soát được mà trở nên cuồng loạn.","Các người không ai hiểu được cách làm của họ, họ hoàn toàn là những kẻ tâm thần, họ sẽ đẩy mình đến điên loạn, mình sợ hãi gia đình này.",Overgeneralization,1
"Trong một hoặc hai tháng qua, tôi thức dậy ít nhất một lần mỗi tuần vì đau lưng.","Không sao, không phải vấn đề lớn, tôi ngủ rất ngon mỗi ngày.",Non-distorted,0
"Bạn chủ động chào hỏi, bạn học mới cũng chỉ qua loa đáp lại.","Anh ấy trả lời qua loa như vậy, đều tại mình chào hỏi làm anh ấy cảm thấy không vui đúng không.",Personalization,1
"Bạn là một người đồng tính, bạn cảm thấy rất áp lực, không ai xung quanh hiểu bạn.","Mình là một kẻ biến thái bị tất cả mọi người phỉ báng, một kẻ dị biệt không được thế gian thấu hiểu.",Labeling and Mislabeling,1
"Bạn muốn tổ chức một đám cưới hoành tráng, nhưng phát hiện mình không có tiền để trả tiền sính lễ.","Sao nhà họ lại đòi nhiều sính lễ như vậy, có phải là cố ý không?",Mind Reading,1
"Bố mẹ luôn so sánh bạn với những đứa trẻ khác, bạn cảm thấy rất không vui.","Chỉ vì mình không bằng nó sao, vậy thì mình sẽ cố gắng hơn nó, liệu họ có còn so sánh như vậy nữa không.",Non-distorted,0
"Mẹ chồng chê bạn vụng về, không đủ tinh tế.","Mình cần cố gắng hết sức để thể hiện tốt, không để bà ấy bắt bẻ mình, mình cần làm việc và nói chuyện nhất quán, tránh nghe những lời đàm tiếu của người khác.",Non-distorted,0
"Bạn quên mang bài tập về nhà của mình, giáo viên phạt bạn đứng nghe giảng ở phía sau.","Mọi người đều không mang, thực ra sự ấm áp chúng ta chia sẻ còn quan trọng hơn bất cứ thứ gì, huống chi còn trong thời tiết lạnh giá này.",Non-distorted,0
"Bạn làm việc cùng đồng nghiệp, bạn cảm thấy gánh nặng của mình nặng hơn, còn gánh nặng của họ nhẹ hơn.","Họ đều là những người thích trốn tránh công việc nặng nhọc, việc gì cũng thích lùi lại, mình ghét nhất là những người như vậy.",Labeling and Mislabeling,1
"Bạn cùng phòng nói chuyện với bạn, bạn không đồng ý với quan điểm của cô ấy.","Anh ấy coi mình là bạn, nhưng mình lại không đồng tình với suy nghĩ của anh ấy, mình đúng là một người bạn không đạt yêu cầu.",Labeling and Mislabeling,1
"Bạn cảm thấy ở vị trí công việc, đồng nghiệp mỗi ngày đều rất nỗ lực, tạo áp lực cho bạn.",Không khí làm việc căng thẳng như vậy còn khó chịu hơn là bắt mình đi chết.,Non-distorted,0
"Khi phỏng vấn, HR cho biết bạn không đáp ứng yêu cầu của công ty chúng tôi.","Mình sẽ không bao giờ tìm được việc làm sao, chắc là sẽ phải lang thang đầu đường xó chợ, cuộc đời mình sẽ kết thúc một cách tầm thường như vậy.",Fortune-telling,1
"Bạn trai bạn gọi điện cho bạn, nói rằng anh ấy cần thêm không gian.","Bạn trai nói cần thêm không gian, điều này ám chỉ rằng tình cảm của chúng ta đã tan vỡ.",Fortune-telling,1
"Từ trước đến nay bạn ít liên lạc với gia đình, chỉ gửi tin nhắn.","Giao tiếp với gia đình thật sự khá ít, đôi khi cảm thấy khá cô lập.",Non-distorted,0
"Bạn không phải là một đứa trẻ xinh đẹp, bạn cảm thấy hơi tự ti.","Người tự tin là người đẹp nhất, vì vậy mình là người đẹp nhất.",Non-distorted,0
"Rất tiếc, bạn gần đây rất khó chịu nhưng vẫn chưa được chẩn đoán bệnh cụ thể.","Bệnh viện chó má! Chỉ muốn moi tiền từ tôi, họ chắc chắn đã biết bệnh của tôi là gì từ lâu rồi nhưng không chịu nói cho tôi biết!",Mind Reading,1
"Chồng bạn bày tỏ sự không hài lòng, nói rằng bạn cả ngày không làm gì cả, chỉ dựa vào anh ấy nuôi.","Tôi chưa bao giờ mang lại giá trị nào cho những người xung quanh, dù là gia đình hay bạn bè, chỉ gây rắc rối cho người khác.",Overgeneralization,1
"Bạn không muốn giúp bạn cùng phòng chạy việc vặt, từ chối yêu cầu của bạn cùng phòng.","Ngay cả yêu cầu của bạn cùng phòng sống chung với mình ngày đêm mà cũng làm ngơ, tôi đúng là một kẻ lập dị.",Labeling and Mislabeling,1
"Gần đây, do dịch bệnh, cửa hàng bánh của bạn kinh doanh không tốt.","Trời muốn diệt tôi, tôi có thể làm gì, kinh doanh không thể tiếp tục, tôi cũng xong rồi.",Fortune-telling,1
"Bạn cảm thấy bạn cùng phòng có vẻ thân thiết mỗi ngày, nhưng bạn không thể hòa nhập.","Tôi cũng rất muốn hòa nhập với họ, nhưng tôi bẩm sinh mắc chứng sợ xã hội, mỗi lần lời nói đến môi lại căng thẳng đến mức không thể nói ra, ai.",Non-distorted,0
"Cấp trên giao cho bạn khối lượng công việc vượt xa khả năng của bạn, bạn cảm thấy quá mệt mỏi.","Công ty gần đây đang sa thải nhân viên, đột nhiên khối lượng công việc lớn như vậy, tôi rất mệt.",Non-distorted,0
Người khác nói bạn trông không được khỏe như thể họ nợ tiền bạn.,"Sao anh ta lại nói tôi như vậy, khó chịu quá.",Non-distorted,0
"Bạn đang làm việc xa nhà, đột nhiên có điện thoại gọi đến báo tin cha mẹ bạn qua đời.","Tôi rất buồn, tôi thực sự không xứng đáng có bất cứ thứ gì, tôi tuyệt vọng về bản thân mình.",All-or-Nothing Thinking,1
"Bạn cảm thấy đôi khi giáo viên còn chưa đọc xong, bạn học của bạn đã biết câu trả lời đúng rồi.","Tôi thừa nhận họ thông minh hơn tôi, điều này cũng không thể làm gì được, vì vậy tôi phải cố gắng hơn nữa.",Non-distorted,0
"Mẹ và tôi thảo luận về kế hoạch tương lai, mẹ đưa ra nhiều kế hoạch và bày tỏ sự lo lắng về tình hình hiện tại, nhưng một số kế hoạch tôi không đồng ý.","Tôi đã vất vả thi đại học, tìm việc làm, cuộc sống vẫn là một mớ hỗn độn, tôi đúng là đồ vô dụng, không làm tốt được việc gì, làm gì cũng khiến bố mẹ lo lắng.",Fortune-telling,1
"Cha mẹ thúc giục bạn kết hôn và sinh con, bạn cảm thấy rất khó chịu.","Tôi còn không tìm được một người phù hợp với mình, làm sao có thể có một cuộc hôn nhân hạnh phúc được?",Fortune-telling,1
"Trong một hoặc hai tháng qua, tôi thức dậy ít nhất một lần mỗi tuần vì đau lưng.","Sau khi chịu đựng cơn đau kéo dài, tôi đến bệnh viện để khám. Kết quả chẩn đoán cho thấy chỉ là đau cơ nhẹ, vì vậy tôi yên tâm điều trị.",Non-distorted,0
"Gần đây bạn muốn xem ảnh tốt nghiệp của mình, nhưng bạn tìm mãi không thấy.","Tất cả là lỗi của tôi, là tôi tự làm tự chịu, tôi không xứng đáng được sống!",Personalization,1
"Gần đây công việc rất bận, con cái bạn bị bỏ bê, bạn cảm thấy thiếu thời gian ở bên con.","Tôi thực sự có lỗi với bản thân thời thiếu nữ, cuộc sống hiện tại rối tung như thế này, ngoài công việc vô vị ra thì chỉ còn gia đình phiền muộn.",Emotional Reasoning,1
"Bạn đã thực hiện một khoản đầu tư, dùng một phần tiền của mình, và đầu tư thất bại.","Tôi còn khoe với bạn bè là sẽ đưa họ làm giàu, giờ thì họ có thể thoải mái chế giễu tôi rồi.",Fortune-telling,1
"Đột nhiên thức dậy lúc ba giờ sáng, bạn vẫn cảm thấy rất buồn ngủ, công việc ngày mai có thể bị ảnh hưởng.","Tôi thực sự không thích đi làm, đi làm thực sự quá đáng sợ.",Emotional Reasoning,1
Đồ ăn đặt về bị trộm.,"Thôi rồi, chỉ có thể tốn tiền gọi lại một phần thôi, chuyện nhỏ thế này báo cảnh sát cũng không ai giải quyết đâu, đành chịu vậy.",Fortune-telling,1
"Bạn cảm thấy rất khó tập trung, hiệu quả học tập cũng rất thấp, cả ngày đầu óc trống rỗng.","Tình trạng hơi không tốt, chỉ cần điều chỉnh một chút, tôi chắc chắn có thể tập trung.",Non-distorted,0
"Khi bạn còn nhỏ, có một người đã lạm dụng bạn, bạn luôn canh cánh trong lòng về điều đó.","Đây không phải là điều tôi có thể quyết định, chuyện đã qua lâu rồi, tôi nên buông bỏ.",Non-distorted,0
"Bạn đang ôn thi cao học, áp lực rất lớn, bạn rất lo lắng.","Vượt qua những khoảng thời gian đầy áp lực này, tôi sẽ nhận được phần thưởng xứng đáng.",Non-distorted,0
"Đi trên đường bạn cảm thấy đói, nhưng xung quanh không có một nhà hàng nào.","Hình như phía trước có một siêu thị, cố lên, sắp tới rồi.",Non-distorted,0
"Đi ăn ở nhà hàng, bạn phát hiện có một con côn trùng nhỏ trong thức ăn.","Thấy ông chủ mặt mày hung dữ thế này, chắc chắn sẽ ghét tôi gây rắc rối cho ông ta, lỡ bị đánh một trận thì không hay rồi, thôi bỏ đi. Chỗ này không an toàn, ông chủ hung dữ thế này, tôi sẽ không bao giờ đến nữa.",Fortune-telling,1
"Bạn đối mặt với đủ loại hoạt động trong khuôn viên trường, tràn đầy hứng thú nhưng lại lo lắng thất bại.","Dù sao thì các hoạt động của trường học chắc chắn đầy rẫy các nhóm nhỏ, tôi không thể hòa nhập, không tham gia cũng được.",Mind Reading,1
"Bạn đang ôn thi cao học, áp lực rất lớn, bạn rất lo lắng.","Thi cao học khiến tôi lo lắng, tôi rất ghét nó, thi cao học thật đáng sợ.",Emotional Reasoning,1
"Bố mẹ gần đây đang cãi nhau, không quan tâm bạn lắm.","Tôi cô đơn quá, tôi như một chú chó con không ai muốn, tôi đúng là không ai muốn, họ chỉ quan tâm đến chuyện của họ, muốn chết quá, như vậy sẽ không cô đơn nữa.",Emotional Reasoning,1
"Bạn quên mang bài tập về nhà, giáo viên phạt bạn đứng ở phía sau nghe giảng.","Thầy giáo nghiêm khắc cũng là vì tốt cho chúng ta, lần này bị phạt, lần sau sẽ nhớ mang bài tập về nhà. Thầy giáo chắc chắn nghĩ tôi là một học sinh không chịu học hành gì, nên mới phạt tôi nghiêm khắc như vậy.",Non-distorted,0
Tài liệu ôn tập bạn chuẩn bị hoàn toàn không khớp với đề thi.,"Cái này cũng không thể trách ai khác được, nếu tôi ôn tập sớm hơn một chút, chuẩn bị kỹ hơn một chút, ít nhiều cũng có thể trả lời được hai câu.",Non-distorted,0
"Bạn nghĩ mình chắc chắn sẽ có học bổng, nhưng không may học bổng bị mất.","Bạn cùng phòng của tôi cũng nhận được học bổng, nhưng bình thường cậu ấy học cũng không giỏi, chỉ là thân với giáo viên, chắc chắn là cậu ấy đã lén lút hối lộ giáo viên rồi.",Mind Reading,1
"Những người xung quanh đã nói với người khác bí mật bạn thích một chàng trai ở lớp bên cạnh, và chuyện đó đã đến tai bạn.","Chắc chắn là người kia đã lan truyền chuyện này, vì cô ấy cũng thích chàng trai đó, cô ấy làm vậy chỉ để tôi bẽ mặt trước mọi người để anh ấy ghét tôi.",Mind Reading,1
Bạn phát hiện ra file PPT mình đã vất vả làm không được lưu.,"Aaaaah, thành quả lao động của tôi, cảm ơn, đã chữa khỏi chứng huyết áp thấp 20 năm của tôi, uống một ngụm nước cho bình tĩnh lại.",Non-distorted,0
"Cấp trên giao cho bạn khối lượng công việc vượt xa khả năng của bạn, bạn cảm thấy quá mệt mỏi.","Mỗi khi tôi kết thúc một kỳ thi, tôi cảm thấy như một phần linh hồn của mình bị xé toạc ra, và sau đó tôi chỉ cần ngủ một giấc là được.",Emotional Reasoning,1
"Tình trạng của bạn từ trước đến nay là ít liên lạc với gia đình, chỉ nhắn tin.","Bình thường tôi có nhiều bài vở phải học, còn phải lo việc của câu lạc bộ, chắc chắn người nhà sợ làm phiền tôi nên mới ít nói chuyện với tôi.",Non-distorted,0
"Bạn và bố mẹ cãi nhau một trận lớn, sau đó bố mẹ rất buồn, bạn cảm thấy rất hối lỗi.","Cãi nhau với bố mẹ không phải là điều tôi muốn, lần sau tôi nên bình tĩnh hơn, tránh cãi vã.",Non-distorted,0
"Bạn muốn tổ chức một lễ cưới hoành tráng, nhưng phát hiện mình không đủ tiền chi trả tiền sính lễ.","Mọi người sẽ coi thường tôi, nghĩ rằng tôi ngay cả tiền sính lễ cũng không đủ khả năng chi trả, tôi thật đáng thương.",Labeling and Mislabeling,1
"Gần đây bạn bị gãy xương, mỗi lần đều phải có bạn bè đưa bạn xuống lầu, đưa bạn đi học.","Sao tôi không chết quách đi cho rồi, sống trên đời làm phiền người khác thì có ích gì.",Emotional Reasoning,1
"Bạn đang làm việc xa nhà, đột nhiên có điện thoại gọi đến báo tin cha mẹ bạn qua đời.","Tôi là một kẻ xấu xa, tôi không nên làm con của họ.",Labeling and Mislabeling,1
"Bạn cảm thấy rất khó tập trung, hiệu quả học tập cũng rất thấp, cả ngày đầu óc trống rỗng.","Tôi học gì cũng không vào, không thể tập trung, tôi sẽ không bao giờ học vào được nữa.",Overgeneralization,1
"Hẹn bạn đi chơi bóng rổ, đến giờ anh ta lại không đến.","Có ý kiến gì thì cứ nói thẳng, sao cứ phải dùng cách này nói với tôi chứ, khó chịu quá. Anh ta chắc chắn nghĩ tôi không xứng đáng với sự trung thực của anh ta.",Mind Reading,1
"Bạn muốn tổ chức một lễ cưới hoành tráng, nhưng phát hiện mình không đủ tiền chi trả tiền sính lễ.","Họ chắc chắn đang cười nhạo tôi sau lưng, nghĩ rằng tôi không làm nên trò trống gì.",Mind Reading,1
"Bạn là một bác sĩ, bệnh nhân gây rối.","Bệnh nhân toàn là đồ khốn nạn, một lũ vong ân bội nghĩa.",Labeling and Mislabeling,1
"Bạn đi trên đường, xe tải đi qua làm nước bắn tung tóe vào người bạn.","Xui xẻo tột cùng, đi đường bình thường cũng bị bắt nạt, đi đâu cũng không gặp được chuyện tốt, toàn gặp xui xẻo.",Overgeneralization,1
"Bố mẹ bạn đều sắp sáu mươi tuổi, làm nông quanh năm nên bệnh tật đầy mình, gần đây thường xuyên nói rất mệt.","Tình trạng sức khỏe của bố mẹ tôi bây giờ không tốt, họ có thể sẽ không bao giờ hồi phục được nữa.",Overgeneralization,1
Gần đây bạn phát hiện ra WeChat của người tình bé nhỏ trong điện thoại của bố mình.,"Bố đã già như vậy rồi mà vẫn còn xảy ra chuyện như thế này, đúng là một ông già háo sắc.",Labeling and Mislabeling,1
"Nói là đi chơi cùng nhau, nhưng bạn lại bị cho leo cây.","Bạn bè không đáng tin cậy, ai cũng sẽ cho bạn leo cây.",Overgeneralization,1
"Bạn cố gắng an ủi bạn bè, nhưng bạn bè lại càng tức giận hơn.",Tôi có thể tiếp tục an ủi cô ấy cho đến khi cô ấy cảm thấy tốt hơn.,Non-distorted,0
"Ông chủ quyết định giảm lương của tất cả nhân viên, bạn cảm thấy rất buồn.","Những lời nói không đúng mực của tôi trước mặt ông chủ có thể đã gây ảnh hưởng tiêu cực đến đồng nghiệp, dẫn đến việc giảm lương, tôi là kẻ gây ra tội lỗi đã hại mọi người.",Personalization,1
Bạn đã từng gặp vấn đề trong mối quan hệ với bạn bè trong quá khứ.,"Chúng ta đã cãi nhau to vì chuyện đó, bạn bè xung quanh chắc chắn đều nghĩ chúng ta đã chia cắt.",Fortune-telling,1
"Từ nhỏ đã thề rằng lớn lên sẽ thành đạt trong sự nghiệp, gia đình hạnh phúc. Lớn lên, lại phát hiện, lương 3 triệu cũng phải tăng ca điên cuồng. Mỗi tháng trả tiền thuê nhà, chi phí sinh hoạt, tiền tiết kiệm chỉ còn lại một chút.","Tôi thực sự quá vô dụng, cố gắng bao nhiêu lâu mà không tiết kiệm được chút tiền nào.",Labeling and Mislabeling,1
Gần đây có hiện tượng mất ngủ vào ban đêm.,"Xe cộ đi lại ồn ào quá, làm tôi không ngủ được.",Non-distorted,0
Đồ ăn đặt về bị trộm.,"Đó là bữa trưa yêu thích của tôi! Tôi đã đói cả buổi trưa, kết quả là bị cái thằng chó đẻ này trộm mất!",Non-distorted,0
"Mắt có triệu chứng khô mắt, bác sĩ khuyên bạn không nên tiếp xúc với màn hình điện tử, bạn rất hối hận.","Tôi không thể dùng điện thoại nữa, những sản phẩm điện tử của xã hội hiện đại đều là thứ hại người! Tôi sẽ không bao giờ chạm vào chúng nữa.",Overgeneralization,1
"Là người rất hướng nội, bạn vừa đến một môi trường mới, những người xung quanh đều khá xa lạ.","Tôi không có bạn bè trong môi trường mới này, xã hội của tôi luôn thất bại.",Overgeneralization,1
"Dự án thầy giao cho bạn, bạn không tiến hành đúng hạn, bị thầy phê bình.","Các bạn học chắc chắn đang cười nhạo tôi, tôi bị phê bình, họ chắc chắn rất vui.",Mind Reading,1
"Ông chủ quyết định giảm lương của tất cả nhân viên, bạn cảm thấy rất buồn.","Nếu tôi có mối quan hệ tốt hơn với cấp trên thì lương đã không thấp như vậy, tất cả là do tôi không biết cách đối nhân xử thế, tôi đã tự hại mình.",Personalization,1
"Mẹ chồng chê bạn vụng về, không đủ tinh tế.","Chồng còn không bênh vực tôi, tôi không có địa vị gì trong gia đình này, chỉ có thể bị bắt nạt.",Mind Reading,1
"Cấp trên giao cho bạn khối lượng công việc vượt xa khả năng của bạn, bạn cảm thấy quá mệt mỏi.","Tôi đúng là đồ đầu heo, nhiệm vụ nhỏ này cũng không hoàn thành được, cả ngày tôi mệt mỏi thế này.",Labeling and Mislabeling,1
"Thầy giáo giao một thí nghiệm có vẻ rất phức tạp, tôi đã trì hoãn một thời gian.","Mọi người chắc chắn sẽ oán trách tôi, một người như tôi không xứng đáng làm bạn của họ.",Mind Reading,1
"Một tuần bạn chỉ có 500 nghìn đồng chi phí sinh hoạt, bạn học đều ăn đủ loại đồ ăn vặt, còn bạn thì không.","Cố gắng học tập, sau này tìm được một công việc tốt sẽ có nhiều tiền hơn.",Non-distorted,0
"Bạn và bạn bè ăn cơm cùng nhau mỗi ngày, đột nhiên một ngày cô ấy không đến tìm bạn ăn cơm.","Cô ấy không muốn ăn cơm cùng tôi, có thể là tính cách của tôi khiến cô ấy không thoải mái.",Personalization,1
"Bạn ra ngoài không mang ô, nhưng đột nhiên trời bắt đầu mưa, mưa rất to, bạn không vui lắm.","Người đi đường chắc chắn đang cười thầm tôi, nghĩ tôi là một kẻ xui xẻo.",Mind Reading,1
"Sáng ngủ dậy, định ngủ thêm một lúc, dậy thì thấy đã muộn.","Muốn nằm thêm một chút thì có gì sai đâu, sao lại ngủ quên mất chứ.",Non-distorted,0
"Trong một hoặc hai tháng qua, tôi thức dậy ít nhất một lần mỗi tuần vì đau lưng.","Khó chịu quá, tôi có phải sắp chết không, tại sao cuộc đời lại đầy đau khổ như vậy.",All-or-Nothing Thinking,1
"Bạn quên mang bài tập về nhà, giáo viên phạt bạn đứng ở phía sau nghe giảng.","Quên mang bài tập về nhà là bỏ lỡ nội dung bài học này, nhỡ đâu thi vào bài này mà tôi không biết làm thì sao, điểm của tôi sẽ tụt dốc không phanh.",Fortune-telling,1
Gần đây bạn phát hiện ra WeChat của người tình bé nhỏ trong điện thoại của bố mình.,"Gia đình xảy ra chuyện như thế này, mẹ biết được nhất định sẽ cãi nhau to với bố rồi đòi ly hôn.",Fortune-telling,1
"Rất tiếc, bạn gần đây rất khó chịu nhưng vẫn chưa được chẩn đoán bệnh cụ thể.","Tôi nghĩ, có lẽ những sai lầm trong quá khứ của tôi đã dẫn đến bệnh tật của tôi, đây là sự trừng phạt cho hành vi của tôi.",Personalization,1
"Gần đây bạn không về nhà qua đêm, bố bạn tìm bạn nói chuyện, giọng nói có vẻ kích động và tức giận.","Không về nhà qua đêm khiến bố lo lắng, tôi không thể như vậy nữa.",Non-distorted,0
"Bạn và bạn học chơi game ở quán net, thầy giáo đột nhiên vào bắt được bạn.","Về nhà bố mẹ nhất định sẽ đánh chết tôi, thà tôi lang thang đường phố còn hơn.",Mind Reading,1
